"uf","asma_medic","ci_l","ci_u","pct_medic_asma","li","ls","metodo_ic","estimativa_ic","ano"
"Acre",0.746558120551955,0.439260703022868,0.938317734500881,74.6558120551955,43.9260703022868,93.8317734500881,"beta","74,66% [43,93%; 93,83%]",2013
"Alagoas",0.859468353758958,0.588650406816316,0.980703010733773,85.9468353758958,58.8650406816316,98.0703010733773,"beta","85,95% [58,87%; 98,07%]",2013
"Amapá",0.827587954692472,0.561108431085591,0.966186514959736,82.7587954692472,56.1108431085591,96.6186514959736,"beta","82,76% [56,11%; 96,62%]",2013
"Amazonas",0.867227720941801,0.70341560127915,0.95976972378333,86.7227720941801,70.341560127915,95.976972378333,"beta","86,72% [70,34%; 95,98%]",2013
"Bahia",0.842208985629782,0.554548067968386,0.97705215505082,84.2208985629782,55.4548067968386,97.705215505082,"beta","84,22% [55,45%; 97,71%]",2013
"Ceará",0.788135524591881,0.587507516471774,0.921078940017397,78.8135524591881,58.7507516471774,92.1078940017397,"beta","78,81% [58,75%; 92,11%]",2013
"Distrito Federal",0.774477510061696,0.498361943856318,0.94193240252141,77.4477510061696,49.8361943856318,94.193240252141,"beta","77,45% [49,84%; 94,19%]",2013
"Espírito Santo",0.649042523678376,0.328752547602472,0.892699578397461,64.9042523678376,32.8752547602472,89.2699578397461,"beta","64,90% [32,88%; 89,27%]",2013
"Goiás",0.804113788924695,0.636131715358115,0.917986142773403,80.4113788924695,63.6131715358115,91.7986142773403,"beta","80,41% [63,61%; 91,80%]",2013
"Maranhão",0.532445030230163,0.229579660385997,0.818416750606821,53.2445030230163,22.9579660385997,81.8416750606821,"beta","53,24% [22,96%; 81,84%]",2013
"Mato Grosso",0.865887025200681,0.619874682086291,0.978899371633041,86.5887025200681,61.9874682086291,97.8899371633041,"beta","86,59% [61,99%; 97,89%]",2013
"Mato Grosso do Sul",0.805265842151896,0.610691675510055,0.930214665443584,80.5265842151896,61.0691675510055,93.0214665443584,"beta","80,53% [61,07%; 93,02%]",2013
"Minas Gerais",0.718244985366855,0.43992202347358,0.910665661161253,71.8244985366855,43.992202347358,91.0665661161253,"beta","71,82% [43,99%; 91,07%]",2013
"Paraná",0.853082651981982,0.705904521303186,0.944620906744403,85.3082651981982,70.5904521303186,94.4620906744403,"beta","85,31% [70,59%; 94,46%]",2013
"Paraíba",0.775011831130178,0.588444751871841,0.9053419971164,77.5011831130178,58.8444751871841,90.53419971164,"beta","77,50% [58,84%; 90,53%]",2013
"Pará",0.823005042874007,0.477099997432453,0.980497814552756,82.3005042874007,47.7099997432453,98.0497814552756,"beta","82,30% [47,71%; 98,05%]",2013
"Pernambuco",0.684593901693783,0.490766488136076,0.840570428406453,68.4593901693783,49.0766488136076,84.0570428406453,"beta","68,46% [49,08%; 84,06%]",2013
"Piauí",0.682465202548678,0.372596769949928,0.905279288001042,68.2465202548678,37.2596769949928,90.5279288001042,"beta","68,25% [37,26%; 90,53%]",2013
