"uf","asma_medic","ci_l","ci_u","pct_medic_crise_asma","li","ls","metodo_ic","estimativa_ic","ano"
"Acre",0.746558120551955,0.406899154460871,0.949459243179794,74.6558120551955,40.6899154460871,94.9459243179794,"beta","74,66% [40,69%; 94,95%]",2013
"Alagoas",0.859468353758958,0.530083558402304,0.988798007570763,85.9468353758958,53.0083558402304,98.8798007570763,"beta","85,95% [53,01%; 98,88%]",2013
"Amapá",0.827587954692472,0.520646729591034,0.975088372393984,82.7587954692472,52.0646729591034,97.5088372393984,"beta","82,76% [52,06%; 97,51%]",2013
"Amazonas",0.867227720941801,0.691094365148801,0.963428654378004,86.7227720941801,69.1094365148801,96.3428654378004,"beta","86,72% [69,11%; 96,34%]",2013
"Bahia",0.842208985629782,0.467641356999708,0.989496856352015,84.2208985629782,46.7641356999708,98.9496856352015,"beta","84,22% [46,76%; 98,95%]",2013
"Ceará",0.788135524591881,0.570423694765705,0.928207772613274,78.8135524591881,57.0423694765705,92.8207772613274,"beta","78,81% [57,04%; 92,82%]",2013
"Distrito Federal",0.774477510061696,0.481178490466856,0.947703266326461,77.4477510061696,48.1178490466856,94.7703266326461,"beta","77,45% [48,12%; 94,77%]",2013
"Espírito Santo",0.649042523678376,0.310604160617922,0.902654020845156,64.9042523678376,31.0604160617922,90.2654020845156,"beta","64,90% [31,06%; 90,27%]",2013
"Goiás",0.804113788924695,0.621837574706537,0.92430084948566,80.4113788924695,62.1837574706537,92.430084948566,"beta","80,41% [62,18%; 92,43%]",2013
"Maranhão",0.532445030230163,0.131432296634477,0.902850686225094,53.2445030230163,13.1432296634477,90.2850686225094,"beta","53,24% [13,14%; 90,29%]",2013
"Mato Grosso",0.865887025200681,0.522234577862274,0.991739769413426,86.5887025200681,52.2234577862274,99.1739769413426,"beta","86,59% [52,22%; 99,17%]",2013
"Mato Grosso do Sul",0.805265842151896,0.593328631189311,0.936976307966353,80.5265842151896,59.3328631189311,93.6976307966353,"beta","80,53% [59,33%; 93,70%]",2013
"Minas Gerais",0.718244985366855,0.429814912422905,0.915270652954453,71.8244985366855,42.9814912422905,91.5270652954453,"beta","71,82% [42,98%; 91,53%]",2013
"Paraná",0.853082651981982,0.70043973954096,0.946672668071067,85.3082651981982,70.043973954096,94.6672668071067,"beta","85,31% [70,04%; 94,67%]",2013
"Paraíba",0.775011831130178,0.573399862138963,0.9124174539084,77.5011831130178,57.3399862138963,91.24174539084,"beta","77,50% [57,34%; 91,24%]",2013
"Pará",0.823005042874007,0.429398921559149,0.987274788539075,82.3005042874007,42.9398921559149,98.7274788539075,"beta","82,30% [42,94%; 98,73%]",2013
"Pernambuco",0.684593901693783,0.483156367786406,0.845440895831974,68.4593901693783,48.3156367786406,84.5440895831974,"beta","68,46% [48,32%; 84,54%]",2013
"Piauí",0.682465202548678,0.325878200236061,0.927158185791536,68.2465202548678,32.5878200236061,92.7158185791536,"beta","68,25% [32,59%; 92,72%]",2013
"Rio Grande do Norte",0.685262916546272,0.360210763295537,0.914129132313247,68.5262916546272,36.0210763295537,91.4129132313247,"beta","68,53% [36,02%; 91,41%]",2013
"Rio Grande do Sul",0.831853570710226,0.63968047178263,0.946752510421233,83.1853570710227,63.968047178263,94.6752510421233,"beta","83,19% [63,97%; 94,68%]",2013
