"uf","valor","ci_l","ci_u","metodo_ic","prevalencia","li","ls","estimativa_ic","ano"
"Acre",0.0406815498216609,0.02954410503592,0.0544870856323096,"beta",4.06815498216609,2.954410503592,5.44870856323096,"4,07% [2,95%; 5,45%]",2013
"Alagoas",0.0263228934332806,0.017487036815944,0.0379476361025788,"beta",2.63228934332806,1.7487036815944,3.79476361025788,"2,63% [1,75%; 3,79%]",2013
"Amapá",0.0401591812330427,0.0282488785379007,0.0552200159798588,"beta",4.01591812330427,2.82488785379007,5.52200159798588,"4,02% [2,82%; 5,52%]",2013
"Amazonas",0.0565090625089051,0.0447266570928445,0.0702916546153884,"beta",5.65090625089051,4.47266570928445,7.02916546153884,"5,65% [4,47%; 7,03%]",2013
"Bahia",0.023467971925976,0.0151498784771845,0.0346161171554742,"beta",2.3467971925976,1.51498784771845,3.46161171554742,"2,35% [1,51%; 3,46%]",2013
"Ceará",0.0321815895329385,0.0252943963598552,0.0403144152426878,"beta",3.21815895329385,2.52943963598552,4.03144152426878,"3,22% [2,53%; 4,03%]",2013
"Distrito Federal",0.0591345462310724,0.0461715096523709,0.0744206781056006,"beta",5.91345462310724,4.61715096523709,7.44206781056006,"5,91% [4,62%; 7,44%]",2013
"Espírito Santo",0.0475651233529603,0.0310327999218438,0.0693859313173116,"beta",4.75651233529603,3.10327999218438,6.93859313173116,"4,76% [3,10%; 6,94%]",2013
"Goiás",0.0360651583850496,0.0272056246812129,0.0467994734459516,"beta",3.60651583850496,2.72056246812129,4.67994734459516,"3,61% [2,72%; 4,68%]",2013
"Maranhão",0.0264190403868062,0.0158555464775964,0.0411897424790291,"beta",2.64190403868062,1.58555464775964,4.11897424790291,"2,64% [1,59%; 4,12%]",2013
"Mato Grosso",0.0394140669845651,0.0276081478614025,0.0543850954741049,"beta",3.94140669845651,2.76081478614025,5.43850954741049,"3,94% [2,76%; 5,44%]",2013
"Mato Grosso do Sul",0.0424488572576749,0.0327574469712659,0.0540046330592605,"beta",4.24488572576749,3.27574469712659,5.40046330592605,"4,24% [3,28%; 5,40%]",2013
"Minas Gerais",0.0439331426703008,0.0327942045261882,0.0574932474947587,"beta",4.39331426703008,3.27942045261882,5.74932474947587,"4,39% [3,28%; 5,75%]",2013
"Paraná",0.0455440021966374,0.0340226799429285,0.0595571717803092,"beta",4.55440021966374,3.40226799429285,5.95571717803092,"4,55% [3,40%; 5,96%]",2013
"Paraíba",0.0283389923656542,0.0204601704628788,0.0381746200056072,"beta",2.83389923656542,2.04601704628788,3.81746200056072,"2,83% [2,05%; 3,82%]",2013
"Pará",0.0429235451345531,0.032818309754168,0.0550429080534491,"beta",4.29235451345531,3.2818309754168,5.50429080534491,"4,29% [3,28%; 5,50%]",2013
"Pernambuco",0.0493231371436306,0.0403025224585646,0.0596754284908519,"beta",4.93231371436306,4.03025224585646,5.96754284908519,"4,93% [4,03%; 5,97%]",2013
"Piauí",0.0441102977131656,0.0306690879194999,0.0612077701494789,"beta",4.41102977131656,3.06690879194999,6.12077701494789,"4,41% [3,07%; 6,12%]",2013
"Rio Grande do Norte",0.0364892033567484,0.026525937315998,0.0488457124737087,"beta",3.64892033567484,2.6525937315998,4.88457124737087,"3,65% [2,65%; 4,88%]",2013
"Rio Grande do Sul",0.0678900438802742,0.0556050005091075,0.0819213530719656,"beta",6.78900438802742,5.56050005091075,8.19213530719656,"6,79% [5,56%; 8,19%]",2013
