"uf","total_medic_asma","lim_inf_total_medic_asma","lim_sup_total_medic_asma","total_pop","taxa_100k_medic_asma","lim_inf_taxa_100k_medic_asma","lim_sup_taxa_100k_medic_asma","metodo_ic","estimativa_ic","ano"
"Acre",3451.40204459401,1475.51698072224,5427.28710846579,496581.29872049,695,353,1226,"beta","695 [353; 1.226]",2013
"Alagoas",18713.3308249127,7980.59789273771,29446.0637570878,2218884.58746702,843,428,1489,"beta","843 [428; 1.489]",2013
"Amapá",5401.53312849807,1311.57667848792,9491.48957850822,459558.51502398,1175,452,2474,"beta","1.175 [452; 2.474]",2013
"Amazonas",30348.0334326186,16046.1500035676,44649.9168616696,2247068.6072837,1351,787,2157,"beta","1.351 [787; 2.157]",2013
"Bahia",93804.5747374939,24667.466870565,162941.682604423,10283975.6366082,912,365,1877,"beta","912 [365; 1.877]",2013
"Ceará",42072.6165234454,22894.8871533769,61250.345893514,6229810.38453625,675,402,1063,"beta","675 [402; 1.063]",2013
"Distrito Federal",24152.3480523558,13500.6982835548,34803.9978211567,2039498.37117189,1184,717,1838,"beta","1.184 [717; 1.838]",2013
"Espírito Santo",29982.7939172611,6785.09549119596,53180.4923433262,2722389.65171238,1101,416,2346,"beta","1.101 [416; 2.346]",2013
"Goiás",60903.6910427973,34245.4259181874,87561.9561674072,4668435.00836238,1305,794,2017,"beta","1.305 [794; 2.017]",2013
"Maranhão",23256.9310840466,2362.03982902308,44151.82233907,4404032.47800996,528,163,1263,"beta","528 [163; 1.263]",2013
"Mato Grosso",21911.6320312565,8294.82348205329,35528.4405804596,2304197.51915244,951,451,1758,"beta","951 [451; 1.758]",2013
"Mato Grosso do Sul",20245.9074422325,9821.46349612512,30670.3513883399,1771972.04024738,1143,628,1906,"beta","1.143 [628; 1.906]",2013
"Minas Gerais",158228.690817861,83738.7742992367,232718.607336486,15177312.6084477,1043,609,1663,"beta","1.043 [609; 1.663]",2013
"Paraná",134043.986285628,83214.7113339062,184873.26123735,7974363.65533942,1681,1101,2453,"beta","1.681 [1.101; 2.453]",2013
"Paraíba",27756.4110065326,14407.602365066,41105.2196479992,2764182.39721241,1004,577,1621,"beta","1.004 [577; 1.621]",2013
"Pará",42386.811965263,17065.703175367,67707.9207551589,5273187.55600181,804,395,1450,"beta","804 [395; 1.450]",2013
"Pernambuco",86798.9206684256,48758.4051973437,124839.436139508,6473843.2740261,1341,816,2073,"beta","1.341 [816; 2.073]",2013
"Piauí",33519.8179221491,14028.0323081328,53011.6035361654,2237974.52129822,1498,751,2662,"beta","1.498 [751; 2.662]",2013
"Rio Grande do Norte",30508.5524584535,13778.1910451371,47238.9138717699,2386106.85885342,1279,671,2202,"beta","1.279 [671; 2.202]",2013
"Rio Grande do Sul",172767.00420467,109820.597824318,235713.410585023,8457260.09009743,2043,1363,2937,"beta","2.043 [1.363; 2.937]",2013
"Rio de Janeiro",197718.89244957,129508.790052562,265928.994846578,12939659.3816529,1528,1044,2155,"beta","1.528 [1.044; 2.155]",2013
"Rondônia",12783.9606854988,5602.44186374571,19965.4795072519,1141142.93080411,1120,576,1958,"beta","1.120 [576; 1.958]",2013
"Roraima",3761.63404056501,1708.60644723161,5814.66163389841,276056.75920811,1363,716,2345,"beta","1.363 [716; 2.345]",2013
"Santa Catarina",59694.7970150615,29315.0874266667,90074.5066034562,5043166.89500045,1184,655,1963,"beta","1.184 [655; 1.963]",2013
"Sergipe",18246.1448472132,10052.7186240477,26439.5710703787,1516292.33528016,1203,721,1883,"beta","1.203 [721; 1.883]",2013
"São Paulo",639135.025242585,457924.725672511,820345.32481266,33085090.4454135,1932,1421,2563,"beta","1.932 [1.421; 2.563]",2013
"Tocantins",10766.3693759714,3922.43999166552,17610.2987602772,980166.51435694,1098,509,2060,"beta","1.098 [509; 2.060]",2013
"Brasil",2002361.81324696,1755007.03738214,2249716.58911179,145572210.321289,1376,1211,1556,"beta","1.376 [1.211; 1.556]",2013
"Acre",3152.10632257413,1208.11582754677,5096.09681760149,643586.04441079,490,234,901,"beta","490 [234; 901]",2019
"Alagoas",21920.7022638573,12841.1213186225,31000.2832090921,2603586.0094101,842,528,1272,"beta","842 [528; 1.272]",2019
"Amapá",2869.39688682818,772.273448738592,4966.52032491777,607374.66379087,472,190,972,"beta","472 [190; 972]",2019
"Amazonas",12464.3273888505,5400.19056598011,19528.4642117209,2892092.34831665,431,221,755,"beta","431 [221; 755]",2019
"Bahia",72826.1733600267,34970.1231705086,110682.223549545,11865806.3402572,614,336,1027,"beta","614 [336; 1.027]",2019
"Ceará",70869.7113713359,45912.9515580685,95826.4711846033,7259045.8890002,976,662,1387,"beta","976 [662; 1.387]",2019
"Distrito Federal",14192.7799746599,7195.75534589264,21189.8046034272,2438542.18510859,582,330,950,"beta","582 [330; 950]",2019
"Espírito Santo",46327.3735546253,30489.3825245106,62165.36458474,3221216.06526541,1438,986,2023,"beta","1.438 [986; 2.023]",2019
"Goiás",57336.8177797407,34903.9846555318,79769.6509039496,5600388.67778345,1024,661,1513,"beta","1.024 [661; 1.513]",2019
"Maranhão",30067.3829215561,14433.8286906067,45700.9371525054,5252900.73583122,572,314,958,"beta","572 [314; 958]",2019
"Mato Grosso",13949.2348021572,3194.17832694688,24704.2912773675,2645192.93902501,527,200,1122,"beta","527 [200; 1.122]",2019
"Mato Grosso do Sul",23412.244968486,13756.0050650942,33068.4848718779,2106629.24887152,1111,698,1677,"beta","1.111 [698; 1.677]",2019
"Minas Gerais",243798.14257716,170557.055007515,317039.230146804,17438590.5309669,1398,1008,1887,"beta","1.398 [1.008; 1.887]",2019
"Paraná",118719.609187931,76966.8151586697,160472.403217192,9295936.90064594,1277,866,1814,"beta","1.277 [866; 1.814]",2019
"Paraíba",28067.7303416143,14141.5095644559,41993.9511187727,3184244.60085415,881,497,1443,"beta","881 [497; 1.443]",2019
"Pará",42992.0656782971,24401.1855005707,61582.9458560236,6414073.01425463,670,411,1031,"beta","670 [411; 1.031]",2019
"Pernambuco",83093.2045146813,56395.8768987281,109790.532130635,7554224.45506497,1100,774,1516,"beta","1.100 [774; 1.516]",2019
"Piauí",19070.6216691273,9675.2604137148,28465.9829245397,2609896.01092398,731,414,1193,"beta","731 [414; 1.193]",2019
"Rio Grande do Norte",20485.017967731,12573.3392364106,28396.6966990514,2778318.52914142,737,479,1084,"beta","737 [479; 1.084]",2019
"Rio Grande do Sul",173134.189998232,117603.069313707,228665.310682757,9376030.85019202,1847,1299,2543,"beta","1.847 [1.299; 2.543]",2019
"Rio de Janeiro",93383.43868817,59802.8090320282,126964.068344312,14375088.8814504,650,437,930,"beta","650 [437; 930]",2019
"Rondônia",7597.35236211141,3268.84701910437,11925.8577051184,1353187.48124502,561,287,988,"beta","561 [287; 988]",2019
"Roraima",3085.83614178433,1567.11630057178,4604.55598299688,387429.29263235,796,451,1300,"beta","796 [451; 1.300]",2019
"Santa Catarina",59613.3130336261,34746.3866005634,84480.2394666887,5919845.46111657,1007,630,1525,"beta","1.007 [630; 1.525]",2019
"Sergipe",19964.8363729269,9637.20395299396,30292.4687928598,1809917.57832004,1103,605,1843,"beta","1.103 [605; 1.843]",2019
"São Paulo",662600.732241682,491459.878112612,833741.586370751,37594356.7991637,1763,1335,2281,"beta","1.763 [1.335; 2.281]",2019
"Tocantins",8472.89765833453,3476.96798436471,13468.8273323043,1198687.98429977,707,350,1269,"beta","707 [350; 1.269]",2019
"Brasil",1953467.24002811,1738443.74704329,2168490.73301292,168426189.517343,1160,1036,1295,"beta","1.160 [1.036; 1.295]",2019
