"uf","valor","ci_l","ci_u","metodo_ic","prevalencia","li","ls","estimativa_ic","ano"
"Acre",0.228846396707693,0.134045423798785,0.349309238512242,"beta",22.8846396707693,13.4045423798785,34.9309238512242,"22,88% [13,40%; 34,93%]",2013
"Alagoas",0.372780224885424,0.212173060695863,0.556938169674132,"beta",37.2780224885424,21.2173060695863,55.6938169674132,"37,28% [21,22%; 55,69%]",2013
"Amapá",0.353652893551325,0.18292638252516,0.556934920844402,"beta",35.3652893551325,18.292638252516,55.6934920844402,"35,37% [18,29%; 55,69%]",2013
"Amazonas",0.275589690681732,0.178819048400757,0.390697343286976,"beta",27.5589690681732,17.8819048400757,39.0697343286976,"27,56% [17,88%; 39,07%]",2013
"Bahia",0.461495583461242,0.24559139337541,0.688558026372252,"beta",46.1495583461242,24.559139337541,68.8558026372252,"46,15% [24,56%; 68,86%]",2013
"Ceará",0.266266358547708,0.172259572895213,0.378810121183052,"beta",26.6266358547708,17.2259572895213,37.8810121183052,"26,63% [17,23%; 37,88%]",2013
"Distrito Federal",0.258574632596372,0.161933386799778,0.376161455075786,"beta",25.8574632596372,16.1933386799778,37.6161455075786,"25,86% [16,19%; 37,62%]",2013
"Espírito Santo",0.35674675829699,0.186857680936915,0.557883944205781,"beta",35.674675829699,18.6857680936915,55.7883944205781,"35,67% [18,69%; 55,79%]",2013
"Goiás",0.449849190460829,0.312955109910439,0.592538661229141,"beta",44.9849190460829,31.2955109910439,59.2538661229141,"44,98% [31,30%; 59,25%]",2013
"Maranhão",0.375413664605715,0.200592888547999,0.577769916836724,"beta",37.5413664605715,20.0592888547999,57.7769916836724,"37,54% [20,06%; 57,78%]",2013
"Mato Grosso",0.278639408150151,0.165165910990158,0.417492025781036,"beta",27.8639408150151,16.5165910990158,41.7492025781036,"27,86% [16,52%; 41,75%]",2013
"Mato Grosso do Sul",0.334252836392205,0.20601184868421,0.483324881320112,"beta",33.4252836392205,20.601184868421,48.3324881320112,"33,43% [20,60%; 48,33%]",2013
"Minas Gerais",0.330388925889701,0.209244696674295,0.470587801490625,"beta",33.0388925889701,20.9244696674295,47.0587801490624,"33,04% [20,92%; 47,06%]",2013
"Paraná",0.432642316848456,0.297308687892917,0.575757172159216,"beta",43.2642316848456,29.7308687892917,57.5757172159216,"43,26% [29,73%; 57,58%]",2013
