"uf","total_fumantes","lim_inf_total_fumantes","lim_sup_total_fumantes","total_pop","taxa_100k_fumantes","lim_inf_taxa_100k_fumantes","lim_sup_taxa_100k_fumantes","metodo_ic","estimativa_ic","ano"
"Acre",92004.2391227182,81322.9460714746,102685.532173962,496581.29872049,18528,16398,20808,"beta","18.528 [16.398; 20.808]",2013
"Alagoas",294819.702263967,251023.297244926,338616.107283008,2218884.58746702,13287,11353,15416,"beta","13.287 [11.353; 15.416]",2013
"Amapá",58001.1184556017,47594.9187863998,68407.3181248037,459558.51502398,12621,10407,15113,"beta","12.621 [10.407; 15.113]",2013
"Amazonas",295422.71124407,259725.874565468,331119.547922672,2247068.6072837,13147,11585,14836,"beta","13.147 [11.585; 14.836]",2013
"Bahia",1319114.72859605,1126595.32761094,1511634.12958117,10283975.6366082,12827,10995,14841,"beta","12.827 [10.995; 14.841]",2013
"Ceará",1007603.26602602,881928.880925995,1133277.65112604,6229810.38453625,16174,14188,18318,"beta","16.174 [14.188; 18.318]",2013
"Distrito Federal",216624.404688334,182406.257780352,250842.551596315,2039498.37117189,10621,8985,12442,"beta","10.621 [8.985; 12.442]",2013
"Espírito Santo",351091.702363861,285131.8305319,417051.574195822,2722389.65171238,12896,10542,15558,"beta","12.896 [10.542; 15.558]",2013
"Goiás",628397.651896993,556688.144785997,700107.159007988,4668435.00836238,13461,11948,15089,"beta","13.461 [11.948; 15.089]",2013
"Maranhão",660746.87097339,523203.740842114,798290.001104667,4404032.47800996,15003,11972,18460,"beta","15.003 [11.972; 18.460]",2013
"Mato Grosso",287121.644651429,235556.493649029,338686.795653829,2304197.51915244,12461,10281,14914,"beta","12.461 [10.281; 14.914]",2013
"Mato Grosso do Sul",317418.733091725,275544.01531522,359293.45086823,1771972.04024738,17913,15580,20438,"beta","17.913 [15.580; 20.438]",2013
"Minas Gerais",2653570.47083216,2341568.39171392,2965572.54995041,15177312.6084477,17484,15457,19659,"beta","17.484 [15.457; 19.659]",2013
"Paraná",1415885.33148176,1219451.17632743,1612319.4866361,7974363.65533942,17755,15333,20388,"beta","17.755 [15.333; 20.388]",2013
"Paraíba",347012.577406014,290220.897273906,403804.257538122,2764182.39721241,12554,10548,14787,"beta","12.554 [10.548; 14.787]",2013
"Pará",699924.656645811,560865.937206317,838983.376085305,5273187.55600181,13273,10720,16177,"beta","13.273 [10.720; 16.177]",2013
"Pernambuco",974355.215127512,864538.703259846,1084171.72699518,6473843.2740261,15051,13378,16845,"beta","15.051 [13.378; 16.845]",2013
"Piauí",374324.738678144,321352.66386299,427296.813493298,2237974.52129822,16726,14395,19267,"beta","16.726 [14.395; 19.267]",2013
"Rio Grande do Norte",312545.604574768,264154.694242999,360936.514906537,2386106.85885342,13099,11114,15293,"beta","13.099 [11.114; 15.293]",2013
"Rio Grande do Sul",1200991.04020019,1062903.06650522,1339079.01389516,8457260.09009743,14201,12593,15930,"beta","14.201 [12.593; 15.930]",2013
"Rio de Janeiro",1656614.99841484,1478163.17605558,1835066.82077411,12939659.3816529,12803,11445,14258,"beta","12.803 [11.445; 14.258]",2013
"Rondônia",134346.992449321,112175.352867114,156518.632031527,1141142.93080411,11773,9873,13894,"beta","11.773 [9.873; 13.894]",2013
"Roraima",37422.5974771544,32163.9543332611,42681.2406210478,276056.75920811,13556,11680,15610,"beta","13.556 [11.680; 15.610]",2013
"Santa Catarina",815384.999194636,665016.102584082,965753.895805191,5043166.89500045,16168,13257,19431,"beta","16.168 [13.257; 19.431]",2013
"Sergipe",180308.550208177,152181.646220636,208435.454195717,1516292.33528016,11891,10079,13901,"beta","11.891 [10.079; 13.901]",2013
"São Paulo",4858111.91091983,4459587.04377738,5256636.77806228,33085090.4454135,14684,13493,15938,"beta","14.684 [13.493; 15.938]",2013
"Tocantins",137419.558339304,114854.110060925,159985.006617684,980166.51435694,14020,11763,16527,"beta","14.020 [11.763; 16.527]",2013
"Brasil",21326586.0153238,20619384.2013065,22033787.8293411,145572210.321289,14650,14167,15144,"beta","14.650 [14.167; 15.144]",2013
"Acre",84062.1760026266,72994.9397305485,95129.4122747046,643586.04441079,13062,11372,14901,"beta","13.062 [11.372; 14.901]",2019
"Alagoas",260762.370288032,229004.731478805,292520.009097259,2603586.0094101,10016,8819,11315,"beta","10.016 [8.819; 11.315]",2019
"Amapá",64202.2470569926,52025.9828915112,76378.511222474,607374.66379087,10570,8619,12790,"beta","10.570 [8.619; 12.790]",2019
"Amazonas",273035.474847165,240960.621741579,305110.327952751,2892092.34831665,9441,8353,10620,"beta","9.441 [8.353; 10.620]",2019
"Bahia",1090822.9453698,914672.540394168,1266973.35034543,11865806.3402572,9193,7752,10802,"beta","9.193 [7.752; 10.802]",2019
"Ceará",820374.638665723,742907.602392083,897841.674939363,7259045.8890002,11301,10250,12420,"beta","11.301 [10.250; 12.420]",2019
"Distrito Federal",258787.221211273,219444.907249424,298129.535173122,2438542.18510859,10612,9037,12357,"beta","10.612 [9.037; 12.357]",2019
"Espírito Santo",332059.378724509,290304.971201703,373813.786247314,3221216.06526541,10309,9039,11691,"beta","10.309 [9.039; 11.691]",2019
"Goiás",722306.870559384,628101.139130615,816512.601988152,5600388.67778345,12897,11245,14696,"beta","12.897 [11.245; 14.696]",2019
"Maranhão",544583.299745833,491993.688066595,597172.911425072,5252900.73583122,10367,9382,11418,"beta","10.367 [9.382; 11.418]",2019
"Mato Grosso",332588.126584554,288368.829548571,376807.423620537,2645192.93902501,12573,10931,14364,"beta","12.573 [10.931; 14.364]",2019
"Mato Grosso do Sul",303561.051809718,268706.859187827,338415.244431608,2106629.24887152,14410,12779,16164,"beta","14.410 [12.779; 16.164]",2019
"Minas Gerais",2121607.70052498,1899083.96080624,2344131.44024373,17438590.5309669,12166,10911,13510,"beta","12.166 [10.911; 13.510]",2019
"Paraná",1322442.64706177,1166583.18046696,1478302.11365658,9295936.90064594,14226,12578,16002,"beta","14.226 [12.578; 16.002]",2019
"Paraíba",353542.452223869,304587.186849847,402497.71759789,3184244.60085415,11103,9599,12753,"beta","11.103 [9.599; 12.753]",2019
"Pará",601903.042884032,515698.791278634,688107.294489429,6414073.01425463,9384,8074,10828,"beta","9.384 [8.074; 10.828]",2019
"Pernambuco",820982.148219476,702873.220451152,939091.0759878,7554224.45506497,10868,9343,12546,"beta","10.868 [9.343; 12.546]",2019
"Piauí",269289.468630419,234049.339574235,304529.597686603,2609896.01092398,10318,8994,11764,"beta","10.318 [8.994; 11.764]",2019
"Rio Grande do Norte",300484.104116292,254096.889426428,346871.318806156,2778318.52914142,10815,9188,12620,"beta","10.815 [9.188; 12.620]",2019
